Date,Clicks,Impressions,CTR,Position
2025-05-14,4,266,1.5%,70.9
2025-05-15,2,249,0.8%,71.9
2025-05-16,0,259,0%,71.8
2025-05-17,1,285,0.35%,74.8
2025-05-18,2,263,0.76%,77.8
2025-05-19,5,287,1.74%,67.6
2025-05-20,6,323,1.86%,61.4
2025-05-21,3,303,0.99%,70.7
2025-05-22,2,349,0.57%,70.3
2025-05-23,2,325,0.62%,73.2
2025-05-24,2,259,0.77%,68.2
2025-05-25,2,289,0.69%,60.7
2025-05-26,2,332,0.6%,70.4
2025-05-27,0,306,0%,69.8
2025-05-28,3,336,0.89%,71.6
2025-05-29,1,291,0.34%,72.7
2025-05-30,2,296,0.68%,75.2
2025-05-31,1,286,0.35%,72.9
2025-06-01,1,298,0.34%,74.5
2025-06-02,7,374,1.87%,70.4
2025-06-03,8,380,2.11%,71.3
2025-06-04,2,415,0.48%,72.9
2025-06-05,8,553,1.45%,68.8
2025-06-06,7,528,1.33%,69.4
2025-06-07,3,503,0.6%,71.2
2025-06-08,0,527,0%,74.3
2025-06-09,2,632,0.32%,68.9
2025-06-10,2,518,0.39%,67.7
2025-06-11,4,573,0.7%,71.4
2025-06-12,1,512,0.2%,70.3
2025-06-13,1,434,0.23%,72.8
2025-06-14,2,415,0.48%,64
2025-06-15,0,451,0%,71.5
2025-06-16,3,463,0.65%,70.9
2025-06-17,0,459,0%,74.4
2025-06-18,4,450,0.89%,73.3
2025-06-19,2,401,0.5%,71.6
2025-06-20,4,517,0.77%,71.8
2025-06-21,3,422,0.71%,67.7
2025-06-22,0,456,0%,72
2025-06-23,4,612,0.65%,67.1
2025-06-24,4,498,0.8%,67.5
2025-06-25,2,399,0.5%,68.6
2025-06-26,1,537,0.19%,69.7
2025-06-27,2,437,0.46%,68.7
2025-06-28,0,454,0%,73.3
2025-06-29,0,388,0%,73.1
2025-06-30,2,558,0.36%,71
2025-07-01,2,447,0.45%,72.1
2025-07-02,2,591,0.34%,68.4
2025-07-03,1,520,0.19%,66.6
2025-07-04,3,697,0.43%,67.4
2025-07-05,0,562,0%,65.1
2025-07-06,1,596,0.17%,67.8
2025-07-07,2,653,0.31%,63.7
2025-07-08,2,632,0.32%,67
2025-07-09,3,538,0.56%,68.1
2025-07-10,4,618,0.65%,69.3
2025-07-11,2,570,0.35%,69.2
2025-07-12,1,577,0.17%,72.8
2025-07-13,1,501,0.2%,70.5
2025-07-14,1,739,0.14%,66.8
2025-07-15,6,508,1.18%,65.2
2025-07-16,3,632,0.47%,67.1
2025-07-17,4,522,0.77%,63.2
2025-07-18,5,569,0.88%,66.2
2025-07-19,0,463,0%,70.5
2025-07-20,3,578,0.52%,70.3
2025-07-21,1,678,0.15%,68.9
2025-07-22,3,485,0.62%,66.7
2025-07-23,0,402,0%,65.5
2025-07-24,1,421,0.24%,66.1
2025-07-25,1,392,0.26%,64.8
2025-07-26,1,375,0.27%,68.1
2025-07-27,3,334,0.9%,67.4
2025-07-28,8,511,1.57%,64
2025-07-29,4,522,0.77%,64.8
2025-07-30,4,580,0.69%,68.5
2025-07-31,1,557,0.18%,68.9
2025-08-01,2,619,0.32%,73.8
2025-08-02,1,471,0.21%,72.2
2025-08-03,2,506,0.4%,72.9
2025-08-04,1,631,0.16%,67.8
2025-08-05,2,515,0.39%,67.9
2025-08-06,1,473,0.21%,64.9
2025-08-07,1,552,0.18%,70.1
2025-08-08,7,603,1.16%,65
2025-08-09,2,579,0.35%,67.3
2025-08-10,1,555,0.18%,66.8
2025-08-11,1,771,0.13%,63.9
2025-08-12,5,540,0.93%,59.6
2025-08-13,5,584,0.86%,60.1
2025-08-14,6,474,1.27%,59
2025-08-15,4,555,0.72%,60.5
2025-08-16,1,390,0.26%,63.7
2025-08-17,0,512,0%,61.5
2025-08-18,5,679,0.74%,59.7
2025-08-19,2,515,0.39%,62.5
2025-08-20,1,558,0.18%,62.2
2025-08-21,1,587,0.17%,60.6
2025-08-22,3,636,0.47%,60
2025-08-23,2,591,0.34%,63.4
2025-08-24,2,544,0.37%,60.6
2025-08-25,4,881,0.45%,61.5
2025-08-26,8,618,1.29%,55.5
2025-08-27,2,578,0.35%,64.6
2025-08-28,4,610,0.66%,62.1
2025-08-29,3,769,0.39%,60.7
2025-08-30,7,568,1.23%,62.1
2025-08-31,2,609,0.33%,62
2025-09-01,4,790,0.51%,63
2025-09-02,3,678,0.44%,63.7
2025-09-03,6,585,1.03%,59.6
2025-09-04,0,570,0%,60.3
2025-09-05,8,623,1.28%,56.8
2025-09-06,1,632,0.16%,57.2
2025-09-07,1,681,0.15%,55.5
2025-09-08,3,1006,0.3%,53.3
2025-09-09,5,784,0.64%,56.9
2025-09-10,3,654,0.46%,53.5
2025-09-11,5,505,0.99%,55.1
2025-09-12,4,280,1.43%,41.1
2025-09-13,5,204,2.45%,19.2
2025-09-14,3,133,2.26%,36.4
2025-09-15,3,185,1.62%,38.4
2025-09-16,7,254,2.76%,29
2025-09-17,6,224,2.68%,42.6
2025-09-18,1,132,0.76%,33.3
2025-09-19,4,169,2.37%,30.7
2025-09-20,0,138,0%,49.9
2025-09-21,1,145,0.69%,42
2025-09-22,4,207,1.93%,32.1
2025-09-23,12,208,5.77%,36.9
2025-09-24,8,251,3.19%,37.4
2025-09-25,6,230,2.61%,26.7
2025-09-26,0,267,0%,38.2
2025-09-27,1,236,0.42%,39.9
2025-09-28,1,179,0.56%,40.2
2025-09-29,4,241,1.66%,36.9
2025-09-30,7,265,2.64%,34.5
2025-10-01,4,229,1.75%,36.2
2025-10-02,3,256,1.17%,31.2
2025-10-03,1,219,0.46%,28.1
2025-10-04,1,216,0.46%,27.6
2025-10-05,3,173,1.73%,31.8
2025-10-06,5,215,2.33%,28.5
2025-10-07,7,241,2.9%,33.1
2025-10-08,8,269,2.97%,31.5
2025-10-09,4,260,1.54%,32.9
2025-10-10,5,316,1.58%,29
2025-10-11,4,222,1.8%,40.7
2025-10-12,0,271,0%,33.6
2025-10-13,6,421,1.43%,21.8
2025-10-14,7,526,1.33%,19.8
2025-10-15,7,530,1.32%,22.3
2025-10-16,3,1082,0.28%,37.4
2025-10-17,15,5626,0.27%,51.6
2025-10-18,23,9383,0.25%,55
2025-10-19,10,7594,0.13%,52.2
2025-10-20,15,6865,0.22%,49.9
2025-10-21,9,4171,0.22%,50.4
2025-10-22,1,3304,0.03%,50.9
2025-10-23,0,3372,0%,48.6
2025-10-24,2,2586,0.08%,46.6
2025-10-25,1,3214,0.03%,45.9
2025-10-26,3,5812,0.05%,51.6
2025-10-27,4,4301,0.09%,46.2
2025-10-28,5,4357,0.11%,46.9
2025-10-29,6,4686,0.13%,46.3
2025-10-30,8,5772,0.14%,45.6
2025-10-31,8,6571,0.12%,46.2
2025-11-01,5,5850,0.09%,40.4
2025-11-02,7,6250,0.11%,39.9
2025-11-03,7,6108,0.11%,40
2025-11-04,5,5945,0.08%,39.8
2025-11-05,5,6151,0.08%,40.2
2025-11-06,7,6337,0.11%,40.2
2025-11-07,7,6883,0.1%,40.3
2025-11-08,6,5720,0.1%,39
2025-11-09,8,5844,0.14%,38.4
2025-11-10,8,5944,0.13%,39.4
2025-11-11,6,5740,0.1%,41.5
2025-11-12,8,5634,0.14%,41.1
2025-11-13,2,5775,0.03%,40.8
2025-11-14,10,6636,0.15%,43.6
2025-11-15,4,5395,0.07%,41.4
2025-11-16,12,6172,0.19%,40.8
2025-11-17,15,5746,0.26%,40
2025-11-18,13,5305,0.25%,39.1
2025-11-19,4,5692,0.07%,39.2
2025-11-20,11,6676,0.16%,38.8
2025-11-21,11,5570,0.2%,39.1
2025-11-22,10,5830,0.17%,38.2
2025-11-23,7,5068,0.14%,38.4
2025-11-24,11,6799,0.16%,41.1
2025-11-25,16,7100,0.23%,36.4
2025-11-26,13,8080,0.16%,34.3
2025-11-27,15,8916,0.17%,33.6
2025-11-28,14,9415,0.15%,34.2
2025-11-29,11,7964,0.14%,33.5
2025-11-30,9,7407,0.12%,33.6
2025-12-01,14,8252,0.17%,33.2
2025-12-02,18,9070,0.2%,34.6
2025-12-03,21,7304,0.29%,33.2
2025-12-04,16,10051,0.16%,34.2
2025-12-05,16,11839,0.14%,34.3
2025-12-06,17,9260,0.18%,33.3
2025-12-07,26,9318,0.28%,32.6
2025-12-08,17,9746,0.17%,31.7
2025-12-09,22,8841,0.25%,33.4
2025-12-10,22,8222,0.27%,33.3
2025-12-11,8,9640,0.08%,33.6
2025-12-12,17,10400,0.16%,36.5
2025-12-13,7,8901,0.08%,35.2
2025-12-14,14,8050,0.17%,34
2025-12-15,16,10344,0.15%,34.3
2025-12-16,17,9006,0.19%,34.5
2025-12-17,29,7090,0.41%,29.2
2025-12-18,17,8947,0.19%,32.4
2025-12-19,23,10302,0.22%,34.4
2025-12-20,17,7982,0.21%,35.4
2025-12-21,13,7183,0.18%,33.2
2025-12-22,18,8198,0.22%,35.1
2025-12-23,17,7597,0.22%,32.2
2025-12-24,14,6792,0.21%,34.2
2025-12-25,17,6579,0.26%,33.1
2025-12-26,18,7921,0.23%,32.7
2025-12-27,10,7205,0.14%,34
2025-12-28,13,6337,0.21%,31.5
2025-12-29,15,7385,0.2%,33.6
2025-12-30,17,6523,0.26%,33.4
2025-12-31,5,6381,0.08%,34.3
2026-01-01,11,7155,0.15%,34.9
2026-01-02,13,8050,0.16%,34.8
2026-01-03,4,6880,0.06%,34.3
2026-01-04,18,6953,0.26%,33.2
2026-01-05,9,6986,0.13%,32.7
2026-01-06,15,7131,0.21%,32
2026-01-07,22,8817,0.25%,29.4
2026-01-08,16,8559,0.19%,30.9
2026-01-09,22,10251,0.21%,31.9
2026-01-10,27,8305,0.33%,30.2
2026-01-11,42,5416,0.78%,30
2026-01-12,17,3307,0.51%,34.8
2026-01-13,11,1086,1.01%,49.1
2026-01-14,7,816,0.86%,54.8
2026-01-15,4,721,0.55%,50.5
2026-01-16,9,769,1.17%,54.4
2026-01-17,3,1210,0.25%,41.6
2026-01-18,6,1595,0.38%,34.3
2026-01-19,13,1740,0.75%,34.3
2026-01-20,21,1830,1.15%,33.9
2026-01-21,12,1674,0.72%,30.8
2026-01-22,10,1927,0.52%,34.2
2026-01-23,7,1956,0.36%,37.5
2026-01-24,18,1794,1%,33.2
2026-01-25,5,1924,0.26%,36.2
2026-01-26,11,1815,0.61%,41.4
2026-01-27,7,1256,0.56%,46
2026-01-28,6,1164,0.52%,45.9
2026-01-29,7,1212,0.58%,49.7
2026-01-30,3,1298,0.23%,51.6
2026-01-31,6,2299,0.26%,46.1
2026-02-01,8,1596,0.5%,45
2026-02-02,7,1373,0.51%,43.6
2026-02-03,14,1010,1.39%,42
2026-02-04,11,1220,0.9%,42.5
2026-02-05,9,1014,0.89%,44.7
2026-02-06,6,1061,0.57%,44.8
2026-02-07,4,728,0.55%,36.9
2026-02-08,4,969,0.41%,37.3
2026-02-09,11,1061,1.04%,35.6
2026-02-10,8,1063,0.75%,34.1
2026-02-11,7,950,0.74%,33.9
2026-02-12,12,951,1.26%,33.4
2026-02-13,4,778,0.51%,35.8
2026-02-14,1,636,0.16%,34.8
2026-02-15,7,812,0.86%,30
2026-02-16,4,790,0.51%,33.6
2026-02-17,4,726,0.55%,33
2026-02-18,5,783,0.64%,35.1
2026-02-19,6,750,0.8%,33.2
2026-02-20,2,682,0.29%,40.9
2026-02-21,6,566,1.06%,40.1
2026-02-22,5,608,0.82%,38.3
2026-02-23,5,825,0.61%,37
2026-02-24,16,751,2.13%,34.4
2026-02-25,8,711,1.13%,32.8
2026-02-26,11,714,1.54%,29.9
2026-02-27,8,747,1.07%,35.4
2026-02-28,8,554,1.44%,36.8
2026-03-01,10,654,1.53%,39.4
2026-03-02,8,757,1.06%,38.5
2026-03-03,9,1669,0.54%,58.6
2026-03-04,11,631,1.74%,32.8
2026-03-05,10,638,1.57%,32.3
2026-03-06,8,765,1.05%,41.2
2026-03-07,3,606,0.5%,38.1
2026-03-08,6,593,1.01%,32
2026-03-09,3,907,0.33%,38.1
2026-03-10,8,597,1.34%,31.8
2026-03-11,12,726,1.65%,30.9
2026-03-12,9,761,1.18%,32.3
2026-03-13,8,655,1.22%,36.7
2026-03-14,5,515,0.97%,38
2026-03-15,5,629,0.79%,25.5
2026-03-16,7,761,0.92%,34.1
2026-03-17,7,611,1.15%,28.5
2026-03-18,11,629,1.75%,30.6
2026-03-19,7,600,1.17%,32.7
2026-03-20,1,455,0.22%,39.9
2026-03-21,4,453,0.88%,35.3
2026-03-22,9,466,1.93%,35.8
2026-03-23,4,664,0.6%,36.9
2026-03-24,10,492,2.03%,33.1
2026-03-25,8,531,1.51%,33.3
2026-03-26,3,530,0.57%,37.1
2026-03-27,4,660,0.61%,39.1
2026-03-28,1,541,0.18%,36.2
2026-03-29,2,591,0.34%,32.8
2026-03-30,11,779,1.41%,34.1
2026-03-31,6,669,0.9%,26
2026-04-01,5,612,0.82%,25
2026-04-02,7,685,1.02%,39
2026-04-03,0,590,0%,31.2
2026-04-04,3,600,0.5%,28
2026-04-05,1,858,0.12%,24.5
2026-04-06,2,1232,0.16%,21.5
2026-04-07,9,1143,0.79%,16.5
2026-04-08,8,1445,0.55%,21.6
2026-04-09,4,858,0.47%,28.9
2026-04-10,5,740,0.68%,31.4
2026-04-11,5,597,0.84%,33.5
2026-04-12,2,606,0.33%,36
2026-04-13,3,767,0.39%,33
2026-04-14,4,536,0.75%,33
2026-04-15,6,547,1.1%,33.6
2026-04-16,18,563,3.2%,36.7
2026-04-17,7,504,1.39%,37.8
2026-04-18,10,445,2.25%,35.4
2026-04-19,3,489,0.61%,34
2026-04-20,11,1206,0.91%,22.1
2026-04-21,9,1176,0.77%,18.2
2026-04-22,7,1163,0.6%,20.3
2026-04-23,13,691,1.88%,33.4
2026-04-24,3,598,0.5%,34.3
2026-04-25,5,563,0.89%,36.9
2026-04-26,3,541,0.55%,33.9
2026-04-27,5,629,0.79%,37.7
2026-04-28,8,479,1.67%,34.7
2026-04-29,14,740,1.89%,26.9
2026-04-30,6,809,0.74%,25.6
2026-05-01,9,750,1.2%,27.4
2026-05-02,5,660,0.76%,30.4
2026-05-03,6,700,0.86%,33.7
2026-05-04,3,948,0.32%,33.8
